label,x,y,z,w,h,l,roll,pitch,yaw
125,-0.231598,0.087550,-0.477097,0.011274,0.010669,0.011464,1.096917,0.806897,2.786900
125,-0.267180,0.075757,-0.426914,0.010000,0.008791,0.009561,1.209640,0.466048,2.973462
125,0.140388,0.018969,-0.257901,0.032751,0.031188,0.033863,-1.901288,-0.354667,1.472615
125,-0.288140,0.058737,-0.399927,0.014448,0.016846,0.016862,1.288056,-0.318389,1.580917
250,-0.299307,0.039733,-0.319732,0.033024,0.031448,0.034145,1.755966,-0.323021,1.581155
250,-0.008681,0.033181,-0.282684,0.040861,0.035920,0.039065,-2.132931,-0.326506,1.561879
250,0.005361,0.015337,-0.238243,0.038744,0.036896,0.040060,-2.325519,-0.328023,1.563119
125,0.360180,0.124961,-0.575201,0.010000,0.008791,0.009561,-0.367694,1.225706,1.182260
125,0.449361,0.120580,-0.570045,0.018523,0.021598,0.021618,-0.948607,0.998421,0.542554
250,0.060947,0.073226,-0.418554,0.030560,0.034068,0.030933,1.296426,-0.303774,1.638382
250,0.285386,0.113541,-0.538332,0.035801,0.034093,0.037017,0.214337,-0.166378,1.606194
250,0.226324,0.019411,-0.240456,0.039261,0.045778,0.045820,2.409976,-0.328612,1.577837
250,0.172281,0.059700,-0.376538,0.030255,0.035276,0.035309,1.403740,-0.319517,1.581189
250,0.180288,-0.007066,-0.171789,0.034835,0.038834,0.035260,2.378290,-0.558189,1.796610
125,-0.197684,0.079035,-0.468086,0.011234,0.009875,0.010740,0.568672,0.281091,1.948777
250,-0.090204,0.106845,-0.517024,0.036137,0.034412,0.037363,-0.169202,-0.311307,1.569022
250,-0.045285,-0.016559,-0.148522,0.034429,0.032786,0.035598,-2.802960,-0.330598,1.567296
