label,x,y,z,w,h,l,roll,pitch,yaw
125,-0.440252,0.064866,-0.439737,0.012647,0.011118,0.012091,0.954335,0.072916,2.110717
125,-0.200037,0.079638,-0.477995,0.018431,0.016202,0.017621,-0.600667,-0.096839,1.429583
125,-0.300323,0.109253,-0.550679,0.032528,0.036262,0.032925,0.025776,-0.283820,1.571066
125,-0.366128,0.075260,-0.440623,0.031211,0.034794,0.031592,0.648167,-0.285850,1.577104
125,-0.299591,0.097537,-0.512774,0.030755,0.035860,0.035893,0.024505,-0.283820,1.571053
125,0.257576,0.024410,-0.293267,0.018521,0.021596,0.021616,-2.113942,-0.298996,1.561852
125,0.296323,0.048717,-0.384662,0.015303,0.014573,0.015823,-1.248528,-0.179605,1.157500
125,0.036844,-0.004947,-0.192862,0.021250,0.023690,0.021510,2.526210,-0.301988,1.576828
125,0.220626,-0.001654,-0.202868,0.025194,0.023992,0.026050,-2.687895,-0.556054,1.440536
250,0.101979,0.015124,-0.227165,0.044377,0.042260,0.045884,2.752004,-0.303070,1.574765
250,0.096146,0.000927,-0.182666,0.036722,0.042818,0.042857,2.816669,-0.303295,1.574132
250,-0.210251,0.014590,-0.250894,0.025295,0.022236,0.024183,-2.459056,-0.301583,1.564207
