label,x,y,z,w,h,l,roll,pitch,yaw
250,0.057606,0.042645,-0.244551,0.028285,0.032980,0.033010,2.183116,-0.725670,1.791226
125,-0.396091,0.157196,-0.430090,0.011274,0.010669,0.011464,0.891006,0.502014,2.770645
125,-0.186450,0.001777,-0.183975,0.027687,0.030865,0.028025,-2.776323,-0.592986,1.566516
250,-0.074487,0.103868,-0.331055,0.041344,0.039125,0.042042,-1.653884,-0.584504,1.558854
250,-0.237625,0.023458,-0.216299,0.031591,0.030084,0.032664,-2.995777,-0.593536,1.569055
125,0.025946,0.107675,-0.350566,0.010000,0.008791,0.009561,0.987132,0.008271,3.136131
125,0.038633,0.045112,-0.255718,0.010000,0.008791,0.009561,0.882722,-0.520135,-2.753709
125,0.134394,0.227057,-0.528142,0.028057,0.026551,0.028530,0.248270,-0.573950,1.573741
125,0.363335,0.117176,-0.369966,0.012319,0.014363,0.014377,-0.983119,0.110196,0.073133
250,0.257658,0.040336,-0.246094,0.022644,0.026403,0.026428,-2.633027,-0.592384,1.564961
250,0.322823,0.201382,-0.481961,0.032499,0.028569,0.031070,-0.665694,-0.549018,1.537994
250,0.000796,0.016830,-0.205595,0.029860,0.026249,0.028548,2.072884,-0.783842,1.930343
250,-0.146202,0.039462,-0.240999,0.028446,0.025006,0.027196,-2.236350,-0.780803,1.300955
