label,x,y,z,w,h,l,roll,pitch,yaw
125,0.417441,0.115195,-0.432972,0.030687,0.029223,0.031729,-0.754267,-0.420993,1.563269
125,0.186251,0.020442,-0.231778,0.023015,0.025657,0.023296,2.066288,-0.698775,2.013772
250,0.199782,0.119599,-0.439450,0.034595,0.032739,0.035179,0.912795,-0.422169,1.579494
250,0.239669,0.028462,-0.224839,0.042884,0.037698,0.040999,2.544820,-0.436549,1.576974
250,0.117938,0.095731,-0.386706,0.033938,0.032318,0.035090,1.353255,-0.417173,1.629136
125,-0.054599,0.154519,-0.533971,0.009707,0.010822,0.009826,-0.595587,1.045261,0.906265
125,-0.200085,0.003503,-0.187957,0.032019,0.030491,0.033106,2.643848,-0.669927,1.710895
125,-0.262214,0.111218,-0.436627,0.017995,0.015819,0.017204,0.875696,-0.129182,1.983826
125,-0.162681,-0.004912,-0.176553,0.021402,0.024955,0.024978,2.880309,-0.687921,1.645857
250,-0.037387,0.062141,-0.305186,0.042577,0.040292,0.043295,-2.086801,-0.433221,1.561235
