label,x,y,z,w,h,l,roll,pitch,yaw
125,-0.269421,0.096643,-0.589195,0.009707,0.010822,0.009826,-0.307769,1.229746,1.245483
125,-0.167477,-0.029056,-0.243399,0.009550,0.011135,0.011145,-1.125958,-0.736584,-0.309913
125,-0.081073,0.012908,-0.358444,0.020077,0.017649,0.019195,-1.302533,-0.186579,0.510132
125,-0.096399,-0.017389,-0.273361,0.018695,0.017803,0.019329,-1.747795,-0.521723,0.927715
250,-0.093031,0.045774,-0.427427,0.037128,0.032638,0.035497,-1.232982,-0.321123,1.560842
125,0.174346,-0.049801,-0.182443,0.013600,0.012951,0.014061,-3.029767,-0.531958,1.546400
125,0.002465,0.033951,-0.433784,0.012637,0.012034,0.013066,1.031883,-0.046886,2.087069
125,-0.028855,-0.017504,-0.244463,0.032067,0.037389,0.037424,2.161309,-0.330002,1.579560
250,0.147913,0.079627,-0.539468,0.033976,0.032153,0.034549,0.034593,-0.314428,1.571161
250,0.171618,0.063994,-0.497196,0.030905,0.029247,0.031427,-0.120527,-0.314495,1.569528
250,0.043608,0.073700,-0.517477,0.037158,0.035164,0.037785,0.592221,-0.316130,1.576686
250,0.204114,0.050646,-0.444588,0.039174,0.037305,0.040504,-0.510770,-0.315702,1.565639
250,-0.050171,0.023404,-0.362239,0.041301,0.039085,0.041998,-1.564834,-0.324379,1.560246
