label,x,y,z,w,h,l,roll,pitch,yaw
250,0.102718,0.164439,-0.459314,0.044577,0.042185,0.045330,0.122019,-0.450763,1.572155
125,-0.173403,0.124413,-0.390731,0.009772,0.011394,0.011405,-1.086198,0.303475,0.156050
250,-0.402491,0.159542,-0.458285,0.029658,0.034580,0.034612,0.498230,-0.451910,1.576131
125,0.016121,0.052044,-0.264626,0.009707,0.010822,0.009826,0.989079,-0.628186,-2.772802
125,0.230687,0.071041,-0.302788,0.010000,0.008791,0.009561,-1.076191,-0.358146,-0.186846
125,0.253998,0.070756,-0.298763,0.011265,0.010727,0.011647,-1.082772,-0.323467,-0.167160
125,0.049730,0.165579,-0.480757,0.022422,0.019711,0.021437,0.386667,-0.174942,1.699871
125,0.300470,0.097053,-0.339865,0.024312,0.027103,0.024609,-1.529752,-0.459144,1.450429
250,-0.068579,0.046790,-0.231793,0.029823,0.034773,0.034806,1.954813,-0.623562,1.932934
250,-0.027907,0.137525,-0.414583,0.029098,0.033928,0.033959,1.056538,-0.455788,1.580516
250,-0.225455,0.175141,-0.479731,0.044440,0.042320,0.045949,-0.582370,-0.452344,1.564656
