label,x,y,z,w,h,l,roll,pitch,yaw
250,-0.295964,0.060116,-0.318195,0.036150,0.042151,0.042190,1.815942,-0.534140,1.582051
125,0.187158,0.071318,-0.349750,0.010000,0.008791,0.009561,1.037526,-0.073314,-3.098379
125,0.249471,0.168121,-0.517099,0.009707,0.010822,0.009826,0.606181,0.905999,2.292918
125,0.147488,0.164735,-0.509101,0.025221,0.028116,0.025529,0.708707,-0.269484,1.840065
125,0.179462,0.000730,-0.232062,0.021085,0.024584,0.024607,0.879598,-0.651259,-2.676720
125,-0.221774,0.116191,-0.438657,0.011274,0.010669,0.011464,0.912659,0.593674,2.733393
125,-0.316626,0.135729,-0.462393,0.013151,0.015334,0.015348,0.970396,0.457036,2.848154
125,-0.151311,-0.010181,-0.218148,0.018777,0.020933,0.019007,2.847207,-0.990955,1.724345
125,-0.063285,0.021379,-0.270236,0.019832,0.017434,0.018961,-2.622652,-0.614233,1.516616
250,-0.270652,0.106735,-0.415313,0.016179,0.018037,0.016377,1.004619,0.332749,2.936891
250,0.150209,0.090011,-0.383916,0.024476,0.021516,0.023401,1.053964,-0.196171,2.527897
250,0.148594,0.077535,-0.350456,0.035416,0.031133,0.033860,1.612696,-0.532133,1.582388
