label,x,y,z,w,h,l,roll,pitch,yaw
125,-0.323060,0.090207,-0.320285,0.033875,0.039498,0.039535,1.698288,-0.515289,1.582187
250,0.027384,0.071384,-0.297994,0.023670,0.027599,0.027624,-1.825698,-0.562691,1.388989
250,0.027570,0.183559,-0.482847,0.036219,0.042231,0.042270,-0.746618,-0.486264,1.541145
250,-0.101644,0.189585,-0.496728,0.034889,0.038894,0.035315,-0.130700,-0.504075,1.569300
125,0.037001,0.086964,-0.331694,0.009550,0.011135,0.011145,-1.054081,-0.098028,-0.055554
125,-0.186234,0.012933,-0.206251,0.009550,0.011135,0.011145,0.553327,-0.954659,-2.218677
125,-0.003919,0.155749,-0.455560,0.010000,0.008791,0.009561,-0.892669,0.670165,0.463929
125,0.014465,0.093682,-0.333149,0.033113,0.031336,0.033672,-1.665452,-0.514963,1.559364
125,-0.278787,0.057309,-0.269182,0.028639,0.025176,0.027380,2.084595,-0.518926,1.580798
125,-0.173847,0.014534,-0.204692,0.021637,0.020604,0.022371,2.307213,-1.232266,2.232212
250,-0.450599,0.185267,-0.491805,0.036053,0.034332,0.037277,-0.629210,-0.505914,1.564038
