label,x,y,z,w,h,l,roll,pitch,yaw
125,0.229174,0.121493,-0.238634,0.026059,0.024815,0.026943,2.254338,-0.566087,1.579946
125,0.366045,0.270073,-0.469779,0.029944,0.026323,0.028628,-0.170593,-0.432054,1.544879
250,0.232204,0.248545,-0.437023,0.027907,0.031111,0.028248,0.569672,-0.551341,1.577161
125,-0.233063,0.150708,-0.298033,0.010046,0.011714,0.011725,1.005745,-0.129477,-3.059914
125,0.093618,0.220774,-0.393404,0.031280,0.029602,0.031808,-1.126219,-0.555478,1.560143
125,-0.069989,0.267614,-0.462324,0.031963,0.037268,0.037303,-0.263502,-0.550100,1.567723
250,-0.317205,0.210183,-0.368079,0.034584,0.040324,0.040362,1.208237,-0.556234,1.581830
250,-0.205749,0.177431,-0.321747,0.033322,0.031732,0.034453,1.374111,-0.557829,1.582370
125,0.302399,0.222098,-0.412848,0.010000,0.008791,0.009561,0.231305,-0.550021,1.573502
250,0.234255,0.210243,-0.377325,0.025327,0.029531,0.029559,0.860487,-0.553250,1.579744
250,0.414076,0.282036,-0.481689,0.037437,0.041734,0.037894,-0.348796,-0.398717,1.501591
