label,x,y,z,w,h,l,roll,pitch,yaw
250,-0.054144,0.027055,-0.237838,0.033009,0.036798,0.033412,3.106871,-0.358692,1.571166
125,0.159436,0.054424,-0.337677,0.010000,0.008791,0.009561,1.221569,-0.053891,-3.121980
250,0.271705,0.109530,-0.463343,0.034312,0.030163,0.032804,0.805965,-0.341783,1.578473
250,0.398481,0.119090,-0.498077,0.027055,0.031546,0.031576,0.010422,-0.338699,1.570907
125,0.146994,0.072521,-0.361699,0.011274,0.010669,0.011464,-1.221220,0.069428,0.025284
125,0.115846,0.028888,-0.275373,0.011730,0.010311,0.011214,-1.612509,-0.565267,0.685993
125,-0.012892,0.011679,-0.219049,0.017017,0.019841,0.019860,-2.790127,-0.806349,1.401382
125,-0.222599,0.041114,-0.275259,0.038983,0.036891,0.039641,1.985920,-0.352747,1.580533
250,0.058089,-0.003133,-0.168077,0.023028,0.026850,0.026875,-2.631212,-0.357428,1.565599
250,0.055739,0.036788,-0.251530,0.046853,0.044617,0.048443,-2.330743,-0.355597,1.563084
250,0.150199,0.039883,-0.283547,0.030523,0.029066,0.031559,-1.746040,-0.448418,1.162527
250,0.193587,0.028360,-0.244652,0.031173,0.027403,0.029803,2.058134,-0.353395,1.580198
250,0.277134,0.151267,-0.571424,0.044400,0.042282,0.045908,0.448735,-0.112492,1.691374
