label,x,y,z,w,h,l,roll,pitch,yaw
125,-0.033959,0.231184,-0.470160,0.012228,0.011572,0.012435,0.438329,0.934117,2.098591
125,0.076137,0.090554,-0.257549,0.010000,0.008791,0.009561,-0.717386,-0.775023,-0.675976
125,0.179389,0.169352,-0.378406,0.015204,0.014389,0.015461,-0.972092,0.300472,0.199243
125,0.155885,0.077318,-0.223452,0.009550,0.011135,0.011145,-0.865205,-0.591463,-0.443443
125,-0.158212,0.092603,-0.235525,0.036483,0.032071,0.034879,2.086066,-0.573398,1.581122
125,0.065711,0.225351,-0.465626,0.014686,0.013985,0.015185,-0.399989,0.946585,1.090463
250,-0.059879,0.098038,-0.256506,0.022997,0.020216,0.021986,2.362759,-0.575579,1.579132
250,0.210301,0.132211,-0.307649,0.028666,0.027298,0.029639,-1.567381,-0.576464,1.377318
125,0.356353,0.158196,-0.358312,0.014904,0.013102,0.014249,1.126600,-0.477452,1.833496
125,0.285517,0.210632,-0.423988,0.032493,0.028564,0.031065,0.988255,-0.562967,1.580706
250,-0.086992,0.175977,-0.367826,0.034169,0.038090,0.034586,1.094632,-0.563888,1.581343
250,-0.061793,0.072115,-0.220374,0.018502,0.020626,0.018728,2.356591,-0.865625,1.885743
