label,x,y,z,w,h,l,roll,pitch,yaw
125,-0.017045,0.255405,-0.429491,0.011274,0.010669,0.011464,-0.305736,0.929841,1.195655
125,-0.217398,0.157269,-0.292438,0.017211,0.016287,0.017501,1.492755,-0.612482,1.911644
125,-0.025315,0.292358,-0.470936,0.037683,0.035661,0.038319,-0.122930,-0.596864,1.569304
125,-0.186613,0.156577,-0.293138,0.012819,0.014947,0.014961,1.234615,-0.533251,2.422463
125,0.066839,0.126907,-0.237824,0.027101,0.023824,0.025910,-2.175382,-0.612495,1.560781
250,-0.130277,0.285272,-0.474116,0.022167,0.021109,0.022919,0.316214,0.232356,1.868214
250,-0.264420,0.286033,-0.463624,0.035301,0.033407,0.035897,0.800355,-0.559615,1.630969
250,0.338414,0.276741,-0.450281,0.030991,0.027243,0.029629,0.332078,-0.597338,1.574765
250,0.208606,0.160859,-0.282712,0.029796,0.034741,0.034773,1.700146,-0.608112,1.582868
250,-0.181765,0.077526,-0.169844,0.026734,0.025299,0.027185,2.466780,-0.614610,1.578402
250,0.017981,0.074402,-0.167265,0.021892,0.019244,0.020929,-2.529681,-1.007447,1.260932
