label,x,y,z,w,h,l,roll,pitch,yaw
125,0.180675,0.111203,-0.472140,0.027309,0.031842,0.031872,1.021654,-0.317066,1.579789
125,0.179067,0.052604,-0.306942,0.024451,0.023284,0.025281,1.747016,-0.328502,1.606522
125,0.068278,0.131876,-0.530206,0.009550,0.011135,0.011145,-0.998733,0.945861,0.481242
125,-0.160956,0.011639,-0.176468,0.009707,0.010822,0.009826,1.006405,-0.937113,-2.669841
125,-0.190461,0.133209,-0.517535,0.010982,0.010458,0.011354,1.069762,0.850796,2.751021
125,0.019307,0.031792,-0.247901,0.019115,0.022288,0.022309,-2.558175,-0.330625,1.564989
125,-0.174539,0.079076,-0.387808,0.021545,0.018939,0.020598,1.165784,-0.216691,1.853642
125,-0.104784,0.031994,-0.250703,0.021351,0.020205,0.021711,2.643644,-0.331063,1.575832
250,-0.300961,0.069804,-0.354377,0.028273,0.026756,0.028750,1.533737,-0.321920,1.581332
250,-0.176548,0.051206,-0.299049,0.023335,0.027208,0.027233,1.943505,-0.325930,1.580615
250,0.010832,0.128392,-0.513428,0.033455,0.039008,0.039044,-0.328373,-0.312810,1.567396
250,-0.112801,0.013566,-0.174391,0.035605,0.033906,0.036814,2.804891,-0.331714,1.574279
125,0.327755,0.107335,-0.485599,0.013577,0.015135,0.013742,0.479536,0.398102,1.927285
125,0.305401,0.089138,-0.420272,0.011274,0.010669,0.011464,1.164049,0.642554,2.888972
250,0.398426,0.133640,-0.547134,0.026353,0.025096,0.027248,0.009337,-0.312274,1.570895
250,0.247066,0.107665,-0.469882,0.026737,0.025302,0.027188,0.862960,-0.315782,1.578807
