label,x,y,z,w,h,l,roll,pitch,yaw
125,-0.031270,0.248193,-0.492511,0.018128,0.015935,0.017331,0.691481,0.808383,2.423570
125,0.174541,0.210627,-0.433235,0.018745,0.017851,0.019382,-0.578275,-0.552624,1.564341
125,-0.063548,0.045763,-0.158386,0.030854,0.034396,0.031231,2.223349,-0.843948,1.943651
125,0.310866,0.166793,-0.358516,0.024451,0.023284,0.025281,-1.360524,-0.554158,1.531040
250,-0.162247,0.124625,-0.275716,0.037268,0.043454,0.043494,1.654825,-0.585571,1.777384
250,-0.161610,0.207258,-0.402618,0.043933,0.038620,0.042002,1.184072,-0.557244,1.581735
250,0.057458,0.269101,-0.517974,0.028999,0.027615,0.029984,0.127690,-0.399918,1.595131
125,0.162476,0.063332,-0.202638,0.013577,0.015135,0.013742,-1.934746,-1.151028,0.656974
125,0.184722,0.102288,-0.258190,0.011274,0.010669,0.011464,-0.890271,-0.563194,-0.407953
250,0.091911,0.032412,-0.143162,0.026353,0.025096,0.027248,-3.130563,-0.570988,1.570666
