label,x,y,z,w,h,l,roll,pitch,yaw
250,-0.303351,0.065229,-0.320392,0.033999,0.032376,0.035153,1.752058,-0.537141,1.582233
250,0.039614,0.205728,-0.546374,0.041925,0.036855,0.040083,-0.500805,-0.526544,1.565215
125,0.268155,0.142424,-0.457939,0.010000,0.008791,0.009561,0.823271,0.722205,2.591833
125,0.418861,0.135341,-0.452182,0.011274,0.010669,0.011464,-0.643078,0.879636,0.799325
125,0.258837,0.043803,-0.285692,0.028948,0.032271,0.029301,2.222712,-0.541396,1.580039
125,0.170969,0.047764,-0.295296,0.029918,0.028313,0.030423,1.915742,-0.538717,1.581738
125,-0.078191,-0.036192,-0.132054,0.009550,0.011135,0.011145,-0.042835,-1.034942,-1.520988
125,-0.124475,-0.005059,-0.200999,0.010000,0.008791,0.009561,0.348415,-0.997128,-1.978972
125,-0.207757,-0.001512,-0.230113,0.009707,0.010822,0.009826,0.812761,-0.734779,-2.576047
125,-0.179559,0.136296,-0.449753,0.020959,0.018424,0.020038,0.689090,-0.446460,1.657220
125,-0.061483,0.188230,-0.532701,0.026096,0.029091,0.026414,-0.097842,-0.180983,1.531178
250,-0.149456,0.184440,-0.526944,0.029965,0.028535,0.030982,0.272145,0.009146,1.739614
250,-0.115751,0.020026,-0.245895,0.027486,0.032048,0.032077,2.901954,-0.545026,1.573556
