label,x,y,z,w,h,l,roll,pitch,yaw
250,0.038864,0.024926,-0.175362,0.030874,0.035999,0.036032,2.719168,-0.456734,1.575344
250,0.033308,0.045226,-0.227511,0.027292,0.025827,0.027752,2.533803,-0.455826,1.577131
125,-0.166371,0.121367,-0.397788,0.011424,0.010879,0.011812,-1.097006,0.322006,0.160866
125,-0.103057,0.025820,-0.196070,0.019491,0.018445,0.019820,-1.037994,-0.550858,-0.299377
250,-0.244463,0.148002,-0.430257,0.033433,0.037270,0.033841,-0.692722,-0.439924,1.563712
125,0.231899,0.154565,-0.455103,0.009550,0.011135,0.011145,-0.943344,0.741847,0.455612
125,-0.072682,0.062689,-0.264466,0.023427,0.026116,0.023713,1.890257,-0.517976,1.776473
125,0.031908,0.096772,-0.355036,0.011274,0.010669,0.011464,1.119593,0.121941,3.082722
125,0.050812,0.175175,-0.503237,0.020371,0.022709,0.020620,0.333501,0.137771,1.783659
250,0.114085,0.140131,-0.417636,0.033770,0.032159,0.034917,0.066243,-0.437631,1.571531
250,-0.274521,0.153638,-0.453137,0.022887,0.026686,0.026711,-0.417709,-0.438473,1.566297
250,-0.219657,0.053030,-0.234397,0.036562,0.034600,0.037179,-2.376545,-0.454834,1.563114
