label,x,y,z,w,h,l,roll,pitch,yaw
125,-0.233556,0.226070,-0.524729,0.010000,0.008791,0.009561,-0.197258,1.008751,1.338857
125,-0.192010,0.021766,-0.210157,0.011375,0.009999,0.010875,-1.972617,-1.196576,0.649041
125,-0.262027,0.058233,-0.249556,0.030195,0.035208,0.035240,3.123683,-0.559876,1.571007
125,-0.131735,0.140121,-0.396893,0.019825,0.018761,0.020159,-1.118392,-0.545531,1.560248
125,-0.032107,0.076175,-0.290409,0.019805,0.023093,0.023114,-1.382120,-0.578715,0.752208
250,-0.421871,0.184032,-0.448730,0.043488,0.041154,0.044221,0.890454,-0.543606,1.579914
125,-0.019256,0.132994,-0.380692,0.015953,0.014024,0.015252,1.011308,0.175676,3.032577
125,0.290541,0.162756,-0.440483,0.011701,0.011073,0.011898,-0.833346,0.680611,0.519308
125,0.358779,0.163295,-0.430957,0.024300,0.022996,0.024710,-1.021256,-0.544677,1.560795
125,0.031615,0.178656,-0.444935,0.032510,0.036242,0.032907,0.878078,-0.501435,1.640705
250,0.172378,0.196096,-0.479008,0.026932,0.030024,0.027261,0.100779,-0.390749,1.589599
250,-0.253642,0.182664,-0.463069,0.021003,0.018463,0.020080,-0.041092,-0.317379,1.559684
250,-0.117904,0.074654,-0.271878,0.036112,0.040257,0.036552,-2.069417,-0.554684,1.560496
