label,x,y,z,w,h,l,roll,pitch,yaw
250,0.204405,0.079251,-0.292625,0.039593,0.034805,0.037853,-2.027856,-0.565345,1.560199
250,-0.048071,0.163637,-0.437400,0.028110,0.031337,0.028453,0.887878,-0.554615,1.579958
125,-0.121113,0.095512,-0.304349,0.010982,0.010458,0.011354,-1.003568,-0.141133,-0.089374
125,-0.215236,0.173240,-0.466974,0.015913,0.015154,0.016453,-0.675768,-0.083786,1.113338
125,-0.417512,0.190806,-0.480273,0.027348,0.031887,0.031917,0.315651,-0.551404,1.574463
125,-0.194541,0.107125,-0.341068,0.033429,0.038978,0.039014,-1.588412,-0.561114,1.558989
250,-0.246280,0.190848,-0.484577,0.024061,0.026822,0.024354,-0.594258,-0.466326,1.494474
125,0.219998,0.162080,-0.430422,0.033238,0.029219,0.031777,-0.924403,-0.554903,1.561370
125,0.198218,0.209873,-0.502589,0.037416,0.032892,0.035772,-0.540309,-0.552339,1.564722
250,-0.049278,0.145938,-0.409091,0.028295,0.024873,0.027052,1.061866,-0.555334,1.582659
250,-0.346309,0.208715,-0.507808,0.029535,0.034437,0.034469,-0.084430,-0.058336,1.522630
