label,x,y,z,w,h,l,roll,pitch,yaw
250,-0.349335,0.237310,-0.436402,0.047204,0.044951,0.048806,-0.330488,-0.559665,1.566944
250,-0.188263,0.185757,-0.357971,0.040345,0.035466,0.038572,-1.324706,-0.566714,1.559283
125,0.064563,0.066132,-0.197250,0.009707,0.010822,0.009826,-0.149990,-0.994395,-1.392463
125,-0.013089,0.219245,-0.424278,0.025238,0.022186,0.024128,0.466137,-0.560193,1.576132
125,-0.015034,0.042101,-0.155238,0.016753,0.018676,0.016958,2.759025,-0.781548,1.670272
250,-0.055771,0.259058,-0.486318,0.028146,0.026803,0.029101,0.486633,-0.560288,1.576348
250,0.080819,0.240087,-0.447834,0.035003,0.030770,0.033465,-0.189251,-0.559300,1.568563
125,-0.195940,0.093732,-0.221376,0.011274,0.010669,0.011464,-0.938794,-0.422182,-0.291470
250,0.199448,0.186222,-0.361510,0.037303,0.032792,0.035663,-1.209831,-0.565616,1.559690
250,-0.099831,0.131812,-0.275536,0.036330,0.042360,0.042399,1.865885,-0.572058,1.582155
