label,x,y,z,w,h,l,roll,pitch,yaw
250,0.224060,-0.009001,-0.308670,0.027776,0.032386,0.032416,1.919270,-0.363992,1.580841
250,0.324748,0.081373,-0.543379,0.031522,0.036754,0.036788,0.359393,-0.149023,1.655403
125,0.134122,-0.031078,-0.261303,0.016818,0.014784,0.016079,-1.151526,-0.522392,-0.218822
125,0.089552,-0.016188,-0.273814,0.038393,0.044766,0.044807,-2.187078,-0.366354,1.562075
125,0.152270,0.015226,-0.377350,0.025854,0.028822,0.026170,-1.523695,-0.360109,1.560121
125,0.260806,0.059885,-0.501400,0.020964,0.024444,0.024467,0.763345,-0.308100,1.624869
125,0.320859,0.061902,-0.517229,0.018674,0.017783,0.019308,0.522507,0.556755,2.043500
125,0.155390,0.044717,-0.456415,0.031591,0.030084,0.032664,1.065965,-0.002467,2.317248
250,0.101113,0.010047,-0.343783,0.038130,0.044460,0.044501,-1.730265,-0.362167,1.560245
250,-0.191316,-0.020904,-0.272749,0.030702,0.035798,0.035831,2.193555,-0.366406,1.579477
