label,x,y,z,w,h,l,roll,pitch,yaw
250,0.345688,0.106551,-0.501770,0.034475,0.030306,0.032960,-0.323947,-0.422615,1.567291
250,0.176154,-0.029313,-0.215931,0.027041,0.023771,0.025853,2.521120,-0.440237,1.577199
125,-0.065335,0.071246,-0.454400,0.011301,0.010694,0.011491,-0.768541,-0.424915,1.563142
125,-0.222079,-0.012795,-0.268029,0.013936,0.016249,0.016264,1.552123,-1.085872,2.917321
125,-0.084910,-0.028146,-0.228378,0.018754,0.016486,0.017930,-2.710665,-0.441183,1.566197
250,-0.227817,0.111908,-0.522993,0.024801,0.028918,0.028944,0.396127,-0.418933,1.576861
250,-0.025202,-0.062902,-0.133983,0.039246,0.037374,0.040579,-2.612990,-0.608650,1.459664
125,0.245436,-0.021710,-0.240738,0.022878,0.021650,0.023264,2.801650,-0.441523,1.574468
250,-0.155891,-0.056332,-0.151680,0.035233,0.033552,0.036429,3.139718,-0.442093,1.570817
250,-0.108707,-0.029862,-0.207450,0.031516,0.036747,0.036781,-2.879724,-0.441754,1.567946
