label,x,y,z,w,h,l,roll,pitch,yaw
250,0.075158,0.134358,-0.452040,0.036232,0.034288,0.036843,-0.169244,-0.404888,1.568956
250,0.152770,0.037689,-0.256367,0.012659,0.014760,0.014774,-1.873757,-0.838481,0.771480
250,0.001596,0.051923,-0.263689,0.031048,0.036202,0.036236,2.588494,-0.423260,1.576536
125,0.417233,0.141685,-0.476650,0.011274,0.010669,0.011464,0.869921,0.895860,2.559068
125,0.350185,0.140348,-0.462709,0.034203,0.030067,0.032700,0.869802,-0.408308,1.579146
125,-0.037880,0.016491,-0.207859,0.016493,0.015608,0.016771,1.758816,-1.064380,2.686405
125,-0.088004,0.113713,-0.424237,0.016512,0.019253,0.019271,0.909195,-0.006920,2.162817
125,-0.154102,0.120636,-0.431342,0.010314,0.012026,0.012037,1.121511,0.382370,2.963588
125,0.041899,0.112203,-0.404482,0.029260,0.032618,0.029617,0.205596,-0.404956,1.573027
125,0.203832,0.102702,-0.388690,0.024460,0.027267,0.024758,-1.244976,-0.402090,1.528842
