label,x,y,z,w,h,l,roll,pitch,yaw
125,0.207366,0.075623,-0.560382,0.023481,0.027378,0.027403,0.531779,-0.291416,1.576104
125,0.158595,0.038545,-0.440492,0.025399,0.028314,0.025709,1.044813,-0.084607,1.979505
125,0.325687,0.052963,-0.481409,0.027838,0.031034,0.028178,0.038796,-0.290039,1.571203
250,0.434603,0.040805,-0.435988,0.035157,0.033480,0.036351,-0.919922,-0.293982,1.562469
125,-0.043742,-0.028651,-0.222547,0.009550,0.011135,0.011145,-0.980230,-1.011287,-0.516674
125,0.033159,0.025849,-0.410499,0.022123,0.020936,0.022497,-1.156598,-0.119510,1.095569
125,-0.175579,-0.036077,-0.199985,0.024676,0.027508,0.024977,2.769262,-0.614219,1.695708
250,-0.077727,0.056844,-0.481571,0.035104,0.039134,0.035533,-0.316060,-0.290528,1.567543
250,-0.280974,0.032299,-0.418775,0.025585,0.022491,0.024461,1.215741,-0.296568,1.580611
250,-0.189905,0.031443,-0.407224,0.030552,0.034059,0.030925,0.970146,-0.294390,1.579432
250,-0.277123,-0.013093,-0.278314,0.022282,0.025981,0.026005,1.723389,-0.566559,2.376056
125,0.136576,0.019999,-0.359804,0.011274,0.010669,0.011464,1.270765,0.000066,3.141572
250,0.179605,0.013750,-0.333752,0.040107,0.044710,0.040596,1.746859,-0.301798,1.581102
250,0.284097,0.055160,-0.490811,0.029629,0.028216,0.030635,0.328620,-0.290568,1.574175
