label,x,y,z,w,h,l,roll,pitch,yaw
125,-0.030615,-0.029160,-0.317737,0.009550,0.011135,0.011145,-1.262114,-0.484240,-0.147371
125,-0.039247,-0.020651,-0.361080,0.010000,0.008791,0.009561,-1.297504,-0.087346,-0.024447
125,-0.290652,0.042685,-0.518795,0.010000,0.008791,0.009561,1.199906,0.734994,2.886493
125,-0.000231,0.037932,-0.522549,0.029629,0.026046,0.028327,-0.648011,-0.264256,1.564530
250,-0.269175,-0.018640,-0.314725,0.030753,0.035858,0.035891,1.912552,-0.275588,1.580578
250,-0.274196,0.027802,-0.488478,0.026970,0.031447,0.031476,0.860389,-0.265711,1.578667
125,-0.329331,-0.011572,-0.350649,0.014769,0.014064,0.015270,-1.298038,-0.061772,-0.017266
125,-0.481194,0.061008,-0.610759,0.027920,0.024544,0.026693,-0.364591,0.375815,1.333319
250,-0.372693,0.040629,-0.543815,0.028542,0.027181,0.029511,-0.818480,0.227369,1.048044
250,-0.347617,0.004094,-0.384366,0.038791,0.034100,0.037086,-1.474837,-0.271280,1.560462
250,-0.217294,-0.022868,-0.299702,0.036833,0.034857,0.037455,2.195999,-0.278086,1.579215
