label,x,y,z,w,h,l,roll,pitch,yaw
125,-0.067766,0.205194,-0.492997,0.010000,0.008791,0.009561,0.425671,0.945851,2.080567
125,0.108088,0.148968,-0.423248,0.010000,0.008791,0.009561,-0.913070,0.512277,0.361954
125,-0.203091,0.106792,-0.349583,0.016965,0.014914,0.016220,1.008796,0.011609,3.134282
125,-0.013488,-0.009547,-0.159501,0.024584,0.021611,0.023504,-3.130142,-0.823766,1.567294
250,0.114759,0.013314,-0.186665,0.033692,0.037559,0.034103,-2.523440,-0.570118,1.563948
250,0.018919,0.039547,-0.225842,0.041819,0.039575,0.042525,-2.899687,-0.571669,1.567966
250,0.262762,0.124798,-0.361514,0.036020,0.040154,0.036460,1.439208,-0.560677,1.582512
250,0.319722,0.146096,-0.406346,0.024371,0.027168,0.024668,1.012117,-0.556680,1.580817
250,0.394840,0.218112,-0.521564,0.023830,0.026565,0.024121,0.170321,-0.318891,1.619798
250,0.199730,0.109077,-0.336280,0.036302,0.040468,0.036745,-1.596589,-0.562247,1.558983
250,-0.038741,0.069113,-0.283171,0.025630,0.022531,0.024504,2.833985,-0.571492,1.574375
