label,x,y,z,w,h,l,roll,pitch,yaw
250,-0.032932,0.096729,-0.195004,0.044577,0.042185,0.045330,-3.019732,-0.609442,1.569324
125,0.243314,0.136756,-0.263077,0.009772,0.011394,0.011405,0.943781,-0.277756,-2.945475
125,0.054022,0.211581,-0.388092,0.009707,0.010822,0.009826,-0.835602,0.571233,0.454758
125,-0.160612,0.187763,-0.353150,0.010000,0.008791,0.009561,0.931688,0.330272,2.905096
125,-0.183917,0.191156,-0.355397,0.011265,0.010727,0.011647,0.939280,0.298614,2.929638
125,0.020025,0.078530,-0.183460,0.022422,0.019711,0.021437,-2.581033,-0.874310,1.372615
125,-0.230466,0.168189,-0.312429,0.024312,0.027103,0.024609,1.483494,-0.594045,1.701055
250,0.138773,0.237583,-0.408610,0.029823,0.034773,0.034806,-0.847897,-0.386924,1.254680
250,0.097775,0.122484,-0.240173,0.029098,0.033928,0.033959,-2.076347,-0.604385,1.560199
250,-0.291405,0.210310,-0.375431,0.027194,0.025896,0.028117,1.014681,-0.390795,2.069754
