label,x,y,z,w,h,l,roll,pitch,yaw
250,0.132340,0.061239,-0.364282,0.027662,0.026342,0.028601,-1.446830,-0.279900,1.538622
250,-0.190731,0.083696,-0.444647,0.022076,0.025740,0.025764,1.031700,-0.238485,1.650688
250,-0.057723,0.043068,-0.299902,0.024967,0.029111,0.029138,2.427897,-0.291177,1.577615
125,0.261050,0.096900,-0.478968,0.010000,0.008791,0.009561,1.215568,0.635888,2.924744
125,-0.004299,0.112428,-0.549249,0.012781,0.014247,0.012937,-0.167190,1.283061,1.396580
125,0.083219,0.117401,-0.556890,0.010000,0.008791,0.009561,-0.953091,1.066547,0.556458
125,-0.068482,0.094987,-0.478528,0.028803,0.027429,0.029781,0.376413,-0.274313,1.574625
125,0.108250,0.090187,-0.483545,0.014621,0.017048,0.017064,-0.880967,0.603147,0.726394
125,-0.152641,0.052780,-0.335869,0.024835,0.021832,0.023743,1.662072,-0.284537,1.581169
125,0.101246,0.002072,-0.174963,0.009550,0.011135,0.011145,-1.074549,-0.942574,-0.412884
250,0.100444,0.054396,-0.339862,0.024383,0.028431,0.028457,-1.642648,-0.284343,1.560407
