label,x,y,z,w,h,l,roll,pitch,yaw
250,0.077568,0.124599,-0.574714,0.035784,0.041723,0.041762,-0.118240,-0.302448,1.569557
125,-0.154107,0.075068,-0.462540,0.009707,0.010822,0.009826,-1.229041,0.410324,0.140956
250,-0.182920,0.032666,-0.313493,0.023457,0.027351,0.027376,-1.501187,-0.356742,0.818503
125,0.193440,0.024510,-0.295109,0.010133,0.008908,0.009688,-1.232925,-0.384139,-0.130917
125,0.020254,0.103342,-0.542308,0.010000,0.008791,0.009561,0.429274,1.226018,2.023477
125,0.145460,0.084074,-0.486203,0.009550,0.011135,0.011145,-1.054507,0.898809,0.418046
125,0.094404,0.111974,-0.541804,0.032189,0.037532,0.037567,-0.214203,-0.201981,1.545594
250,0.119600,0.002685,-0.212629,0.032117,0.030393,0.032659,-2.698030,-0.321413,1.566287
250,-0.071286,0.058161,-0.378813,0.031664,0.027835,0.030272,1.340225,-0.310108,1.581027
250,-0.276885,0.097956,-0.490228,0.038952,0.034242,0.037240,-0.694592,-0.304701,1.564070
