label,x,y,z,w,h,l,roll,pitch,yaw
250,-0.050341,0.054921,-0.240911,0.046051,0.040482,0.044027,2.230280,-0.351102,1.579194
125,-0.217127,0.069557,-0.335246,0.010173,0.011862,0.011873,-1.246188,-0.139081,0.179574
125,-0.173457,0.047753,-0.266859,0.011274,0.010669,0.011464,-1.197911,-0.381141,-0.144499
125,-0.355347,0.137275,-0.501870,0.027861,0.026366,0.028331,-0.060076,-0.334981,1.570158
250,-0.403744,0.161201,-0.535411,0.044501,0.051888,0.051936,0.180620,-0.335127,1.572705
250,-0.459769,0.145585,-0.503611,0.038559,0.042985,0.039029,0.499235,-0.336188,1.575884
125,-0.105874,0.015818,-0.174062,0.009707,0.010822,0.009826,1.110658,-0.705168,-2.830763
125,0.219493,0.049183,-0.278465,0.011640,0.011085,0.012036,-1.780739,-0.553872,0.953577
125,0.096149,0.031958,-0.210260,0.010982,0.010458,0.011354,-0.221559,-1.216815,-1.335113
125,0.190517,0.140439,-0.518628,0.021934,0.020757,0.022304,-0.499288,-0.222018,1.499360
125,0.252499,0.041708,-0.242596,0.023586,0.022321,0.023984,-2.012874,-0.504033,1.259287
250,0.094433,0.002405,-0.119315,0.027865,0.032491,0.032521,-3.101063,-0.354955,1.570366
250,-0.045943,0.109747,-0.416051,0.033869,0.032254,0.035019,1.015366,-0.318295,1.617007
250,-0.231688,0.037248,-0.216762,0.028724,0.032021,0.029074,-2.350174,-0.352001,1.563238
250,-0.343101,0.167038,-0.582162,0.027771,0.024412,0.026550,-0.092036,0.499280,1.497542
