label,x,y,z,w,h,l,roll,pitch,yaw
125,-0.161598,0.102426,-0.473799,0.011274,0.010669,0.011464,1.062301,0.797643,2.762011
125,-0.197180,0.089343,-0.423936,0.010000,0.008791,0.009561,1.181255,0.461572,2.960763
125,0.210388,0.028217,-0.256443,0.032751,0.031188,0.033863,-1.898567,-0.380320,1.471637
125,-0.243823,0.031557,-0.268611,0.031912,0.030389,0.032995,1.836795,-0.474847,1.955438
125,-0.218140,0.071633,-0.397396,0.014448,0.016846,0.016862,1.287779,-0.344166,1.581007
250,-0.229307,0.050568,-0.317719,0.033024,0.031448,0.034145,1.755681,-0.348798,1.581249
250,0.061319,0.043064,-0.280851,0.040861,0.035920,0.039065,-2.132686,-0.352283,1.561798
250,0.075361,0.024080,-0.236885,0.038744,0.036896,0.040060,-2.325308,-0.353801,1.563049
125,0.430180,0.142353,-0.570906,0.010000,0.008791,0.009561,-0.340623,1.201725,1.207625
125,0.519361,0.137841,-0.565864,0.018523,0.021598,0.021618,-0.908686,0.984741,0.575966
250,0.130947,0.086597,-0.415644,0.030560,0.034068,0.030933,1.294586,-0.329493,1.638955
250,0.355386,0.129986,-0.534343,0.035801,0.034093,0.037017,0.213407,-0.192140,1.606360
250,0.242281,0.071993,-0.373991,0.030255,0.035276,0.035309,1.403456,-0.345294,1.581282
125,-0.127684,0.093681,-0.465010,0.011234,0.009875,0.010740,0.558836,0.257120,1.946162
250,-0.020204,0.122743,-0.513215,0.036137,0.034412,0.037363,-0.169153,-0.337085,1.569006
250,0.024715,-0.010118,-0.148016,0.034429,0.032786,0.035598,-2.802864,-0.356376,1.567263
