label,x,y,z,w,h,l,roll,pitch,yaw
125,0.020109,0.061560,-0.256683,0.012647,0.011118,0.012091,-1.755940,-0.655789,0.868138
125,-0.056239,0.177752,-0.507494,0.012804,0.011256,0.012241,-0.670626,1.037248,0.826320
125,-0.220172,0.048223,-0.218305,0.018431,0.016202,0.017621,2.428699,-0.598771,1.741586
125,-0.120009,0.023714,-0.143577,0.032528,0.036262,0.032925,-3.117225,-0.419820,1.570531
125,-0.012412,0.128113,-0.400055,0.020358,0.017896,0.019463,-0.931632,-0.214059,1.267825
125,-0.054022,0.068958,-0.249391,0.031211,0.034794,0.031592,-2.490559,-0.417786,1.564189
125,-0.120678,0.039305,-0.180061,0.030755,0.035860,0.035893,-3.118506,-0.419821,1.570545
125,-0.456578,0.168358,-0.490789,0.021250,0.023690,0.021510,-0.612730,-0.401650,1.564526
250,-0.515868,0.179471,-0.494849,0.036722,0.042818,0.042857,-0.324167,-0.400346,1.567324
250,-0.093474,0.180623,-0.496323,0.045145,0.042723,0.045907,-0.176329,-0.399979,1.568884
250,-0.209581,0.145552,-0.433538,0.025295,0.022236,0.024183,0.676316,-0.402033,1.577621
