label,x,y,z,w,h,l,roll,pitch,yaw
250,0.356845,0.100767,-0.510201,0.032749,0.038185,0.038220,0.045965,-0.284127,1.571277
250,0.400896,0.080724,-0.424605,0.045319,0.050521,0.045872,-0.420177,-0.284989,1.566534
125,-0.104303,0.089479,-0.496257,0.010875,0.012680,0.012691,0.390516,1.251923,1.979855
125,-0.268458,0.084198,-0.436214,0.009875,0.011008,0.009995,1.244101,0.443311,2.997265
125,0.072946,0.008330,-0.215770,0.033089,0.031511,0.034213,-2.142003,-0.555007,1.198956
125,-0.074660,0.100383,-0.529099,0.026182,0.024933,0.027071,-0.054052,0.015407,1.553576
125,-0.146259,0.094312,-0.508317,0.009707,0.010822,0.009826,0.856400,1.112437,2.480604
250,-0.254770,0.022919,-0.251447,0.040516,0.038342,0.041200,2.089662,-0.336655,1.647002
125,0.215136,0.017838,-0.237291,0.010000,0.008791,0.009561,1.202437,-0.635000,-2.916519
125,0.178881,-0.004131,-0.186161,0.020798,0.019805,0.021504,1.177985,-0.711590,-2.877337
250,0.231352,0.057959,-0.370672,0.033103,0.036902,0.033507,1.412393,-0.292554,1.581114
250,-0.327836,0.042661,-0.313051,0.043706,0.041620,0.045190,1.603683,-0.330336,1.967085
250,-0.024876,0.090611,-0.478924,0.033213,0.029197,0.031754,-0.418215,-0.284981,1.566553
