label,x,y,z,w,h,l,roll,pitch,yaw
125,0.124174,0.041385,-0.273794,0.026059,0.024815,0.026943,2.255729,-0.427219,1.579282
125,0.333098,0.073728,-0.337940,0.028658,0.033415,0.033446,-1.671609,-0.421907,1.559896
125,0.261045,0.156538,-0.523281,0.029944,0.026323,0.028628,-0.174340,-0.293224,1.546212
250,0.127204,0.139752,-0.487861,0.027907,0.031111,0.028248,0.570634,-0.412470,1.576715
125,-0.338063,0.062096,-0.336666,0.010046,0.011714,0.011725,1.145520,-0.139525,-3.078687
125,-0.011382,0.118286,-0.440817,0.031280,0.029602,0.031808,-1.127832,-0.416611,1.560898
125,-0.174989,0.155135,-0.515558,0.031963,0.037268,0.037303,-0.263966,-0.411227,1.567938
250,-0.422204,0.111303,-0.414270,0.034584,0.040324,0.040362,1.209907,-0.417367,1.581047
250,-0.310749,0.085280,-0.363851,0.033322,0.031732,0.034453,1.375864,-0.418963,1.581545
125,0.197399,0.116906,-0.460257,0.010000,0.008791,0.009561,0.231714,-0.411147,1.573313
250,0.129255,0.110082,-0.423435,0.025327,0.029531,0.029559,0.861840,-0.414381,1.579113
250,0.309076,0.166737,-0.536732,0.037437,0.041734,0.037894,-0.358701,-0.260159,1.504804
