label,x,y,z,w,h,l,roll,pitch,yaw
125,0.235347,0.014940,-0.363236,0.017089,0.016172,0.017377,-1.582440,-0.341165,1.560186
125,0.045687,0.064075,-0.482114,0.027838,0.031034,0.028178,0.038779,-0.331038,1.571208
125,0.019783,-0.025383,-0.242810,0.022293,0.021097,0.022670,2.908071,-0.350760,1.573252
250,0.154602,0.050064,-0.437230,0.035157,0.033480,0.036351,-0.919561,-0.334980,1.562357
250,-0.021602,-0.028090,-0.208929,0.042247,0.040231,0.043682,2.678351,-0.552725,1.680798
125,-0.246841,0.034077,-0.412375,0.022123,0.020936,0.022497,-1.137613,-0.155943,1.092962
250,-0.357727,0.067958,-0.482116,0.035104,0.039134,0.035533,-0.315919,-0.331527,1.567500
125,-0.143424,0.026153,-0.361962,0.011274,0.010669,0.011464,1.229766,0.000065,3.141570
250,-0.100395,0.018842,-0.336188,0.040107,0.044710,0.040596,1.746410,-0.342795,1.581244
250,0.004097,0.066655,-0.491418,0.029629,0.028216,0.030635,0.328474,-0.331567,1.574220
